NAME             TYPE       MATERIAL SIZE   SENTIENT CONTAINER
DRUM             INSTRUMENT LEATHER  TINY   FALSE    FALSE
FLASK            CONTAINER  SILVER   TINY   FALSE    TRUE
FLASK            CONTAINER  LEATHER  TINY   FALSE    TRUE
FLUTE            INSTRUMENT SILVER   TINY   FALSE    FALSE
GEM              DEFAULT    CRYSTAL  TINY   FALSE    TRUE
GOBLET           DEFAULT    COPPER   TINY   FALSE    TRUE
GOBLET           DEFAULT    SILVER   TINY   FALSE    TRUE
GOBLET           DEFAULT    GOLD     TINY   FALSE    TRUE
HOURGLASS        DEFAULT    GLASS    MICRO  FALSE    FALSE
JAR              CONTAINER  GLASS    TINY   FALSE    TRUE
KEY              KEY        GOLD     TINY   FALSE    FALSE
LANTERN          LIGHT      BRASS    TINY   FALSE    FALSE
LADDER           DEFAULT    WOOD     MEDIUM FALSE    FALSE
LUTE             INSTRUMENT WOOD     TINY   FALSE    FALSE
LYRE             INSTRUMENT WOOD     TINY   FALSE    FALSE
MAGAZINE         DATA       PAPER    TINY   FALSE    FALSE
MAGNIFYING_GLASS TOOL       GLASS    TINY   FALSE    FALSE
MAP              DATA       PAPER    SMALL  FALSE    FALSE
MEAT             FOOD       MEAT     SMALL  FALSE    FALSE
MEDICINE         MEDICINE   BONE     MICRO  FALSE    FALSE
MIRROR           DEFAULT    SILVER   SMALL  FALSE    FALSE
MUG              DEFAULT    CERAMIC  TINY   FALSE    TRUE
NEWSPAPER        DATA       PAPER    TINY   FALSE    FALSE
OVEN             GADGET     IRON     MEDIUM FALSE    TRUE
PAINTING         DEFAULT    PAPER    SMALL  FALSE    FALSE
PERFUME          DEFAULT    GLASS    TINY   FALSE    TRUE
PHONE            GADGET     PLASTIC  TINY   FALSE    FALSE
PHOTO            DEFAULT    PAPER    TINY   FALSE    FALSE
PIANO            INSTRUMENT BONE     LARGE  FALSE    TRUE
PLATE            DEFAULT    CERAMIC  TINY   FALSE    FALSE
RADIO            GADGET     PLASTIC  TINY   FALSE    TRUE
RING             JEWELRY    COPPER   TINY   FALSE    FALSE
RING             JEWELRY    SILVER   TINY   FALSE    FALSE
RING             JEWELRY    GOLD     TINY   FALSE    FALSE
ROCK             DEFAULT    ROCK     TINY   FALSE    FALSE
ROCK             DEFAULT    ROCK     SMALL  FALSE    FALSE
ROCK             DEFAULT    ROCK     MEDIUM FALSE    FALSE
ROCK             DEFAULT    ROCK     LARGE  FALSE    FALSE
ROPE             DEFAULT    WICKER   SMALL  FALSE    FALSE
SACK             CONTAINER  BURLAP   SMALL  FALSE    TRUE
SIGN             DATA       WOOD     TINY   FALSE    FALSE
SHOVEL           TOOL       IRON     SMALL  FALSE    FALSE
SOAP             DEFAULT    LYE      TINY   FALSE    FALSE
TABLE            FURNITURE  WOOD     SMALL  FALSE    FALSE
TABLE            FURNITURE  WOOD     MEDIUM FALSE    FALSE
TABLE            FURNITURE  WOOD     LARGE  FALSE    FALSE
TALISMAN         JEWELRY    JADE     MICRO  TRUE     FALSE
TALISMAN         JEWELRY    ROCK     MICRO  TRUE     FALSE
TALISMAN         JEWELRY    WOOD     MICRO  TRUE     FALSE
TOILET           FURNITURE  CERAMIC  MEDIUM FALSE    TRUE
WRENCH           TOOL       IRON     TINY   FALSE    FALSE
