NAME        STATE  COLOR       ADJECTIVE   FLAME FREEZ BUOY  SOLUB CONDU CORRO ELAST TMP  STR DEN MELT BOIL CATEGORY
WICKER      SOLID  TAN         WOVEN       TRUE  TRUE  TRUE  FALSE FALSE FALSE FALSE 70   1   10  0    0    ORGANICS
BURLAP      SOLID  TAN         ROUGH       TRUE  TRUE  TRUE  FALSE FALSE FALSE FALSE 70   1   20  0    0    ORGANICS
LAVA        LIQUID RED         MOLTEN      TRUE  FALSE FALSE FALSE FALSE TRUE  FALSE 2000 0   50  0    0    ELEMENTAL
WATER       LIQUID BLUE        CLEAR       FALSE TRUE  FALSE TRUE  TRUE  FALSE FALSE 70   0   10  0    210  ELEMENTAL
ICE         SOLID  TRANSPARENT FROSTED     FALSE FALSE TRUE  TRUE  TRUE  FALSE FALSE 32   1   30  70   210  ELEMENTAL
SNOW        SOLID  WHITE       POWDERY     FALSE FALSE TRUE  TRUE  TRUE  FALSE FALSE 32   1   20  70   210  ELEMENTAL
ACID        LIQUID GREEN       CAUSTIC     TRUE  TRUE  FALSE TRUE  FALSE TRUE  FALSE 70   0   10  0    0    ELEMENTAL
ELECTRICITY NONE   WHITE       HOT         FALSE FALSE FALSE FALSE TRUE  FALSE FALSE 5000 0   0   0    0    ELEMENTAL
RUBBER      SOLID  BLACK       FLEXIBLE    FALSE FALSE TRUE  FALSE FALSE FALSE TRUE  70   2   50  180  300  SYNTHETICS
PLASTIC     SOLID  WHITE       HARD        FALSE FALSE TRUE  FALSE FALSE FALSE FALSE 70   3   100 180  300  SYNTHETICS
CERAMIC     SOLID  WHITE       BRITTLE     FALSE TRUE  FALSE FALSE FALSE FALSE FALSE 70   5   200 0    0    SYNTHETICS
GLASS       SOLID  TRANSPARENT FRAGILE     FALSE FALSE FALSE FALSE FALSE FALSE FALSE 70   1   100 2700 4000 SYNTHETICS
GLUE        LIQUID WHITE       STICKY      FALSE FALSE TRUE  FALSE FALSE FALSE FALSE 70   1   30  100  200  SYNTHETICS
FABRIC      SOLID  TAN         WOVEN       TRUE  TRUE  TRUE  FALSE FALSE FALSE FALSE 70   1   20  0    0    SYNTHETICS
LEATHER     SOLID  BROWN       TOUGH       FALSE FALSE TRUE  FALSE FALSE FALSE TRUE  70   3   50  0    0    BIOLOGICS
WOOL        SOLID  WHITE       FUZZY       TRUE  FALSE FALSE FALSE FALSE FALSE FALSE 70   1   10  0    0    BIOLOGICS
FUR         SOLID  BROWN       SHAGGY      TRUE  FALSE TRUE  FALSE FALSE FALSE FALSE 90   2   10  0    0    BIOLOGICS
SKIN        SOLID  TAN         SOFT        TRUE  TRUE  TRUE  FALSE TRUE  FALSE TRUE  70   1   50  0    0    BIOLOGICS
CARAPACE    SOLID  BLACK       ARMORED     FALSE TRUE  FALSE FALSE FALSE FALSE FALSE 70   5   200 0    0    BIOLOGICS
SHELL       SOLID  WHITE       HARD        FALSE TRUE  FALSE FALSE FALSE FALSE FALSE 70   5   200 0    0    BIOLOGICS
SCALES      SOLID  SILVER      SHINY       FALSE FALSE FALSE FALSE TRUE  FALSE FALSE 70   4   100 0    0    BIOLOGICS
FEATHER     SOLID  BROWN       DELICATE    TRUE  TRUE  TRUE  FALSE FALSE FALSE FALSE 70   1   10  0    0    BIOLOGICS
BONE        SOLID  WHITE       DENSE       FALSE TRUE  FALSE FALSE FALSE FALSE FALSE 70   5   200 0    0    BIOLOGICS
MEAT        SOLID  RED         RAW         TRUE  TRUE  FALSE FALSE FALSE FALSE TRUE  70   1   50  0    0    BIOLOGICS
FOOD        SOLID  WHITE       EDIBLE      TRUE  TRUE  FALSE FALSE FALSE FALSE TRUE  70   1   50  0    0    BIOLOGICS
SLIME       LIQUID GREEN       STICKY      FALSE TRUE  FALSE TRUE  FALSE TRUE  TRUE  70   2   50  0    0    AMORPHOUS
VOID        NONE   BLACK       UNKNOWN     FALSE TRUE  FALSE FALSE FALSE TRUE  FALSE 0    4   50  0    0    AMORPHOUS
SHADOW      NONE   BLACK       DARK        FALSE FALSE FALSE FALSE FALSE FALSE FALSE 70   0   0   0    0    AMORPHOUS
BLIGHT      SOLID  PURPLE      CORRUPT     TRUE  FALSE FALSE FALSE FALSE TRUE  FALSE 50   2   30  0    0    AMORPHOUS
ECTOPLASM   LIQUID GREEN       GHOSTLY     FALSE TRUE  TRUE  TRUE  FALSE FALSE TRUE  32   1   20  0    0    AMORPHOUS
SMOKE       GAS    BLACK       ASHEN       FALSE FALSE FALSE FALSE FALSE FALSE FALSE 100  0   0   0    0    PARTICLE
FOG         GAS    WHITE       MISTY       FALSE FALSE FALSE FALSE FALSE FALSE FALSE 10   0   0   0    0    PARTICLE
STEAM       GAS    WHITE       MISTY       FALSE FALSE FALSE FALSE TRUE  FALSE FALSE 100  0   0   0    0    PARTICLE
DUST        GAS    GRAY        AIRBORNE    FALSE FALSE FALSE FALSE TRUE  FALSE FALSE 70   0   0   0    0    PARTICLE
PHOTON      NONE   YELLOW      RADIANT     FALSE FALSE FALSE FALSE FALSE FALSE FALSE 70   0   0   0    0    PARTICLE
